Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
7.71,10.73,0.1285,22.505833333333342,82.7283,4.494166666666658,2098.443579766533,b2,88.81,27.0,[2109.76689712]
6.08,10.81,0.1013333333333333,22.607166666666675,65.7248,4.392833333333325,2601.0197368421004,b2,88.81,27.0,[2551.62519099]
6.08,10.81,0.1013333333333333,22.708500000000008,65.7248,4.291499999999992,2541.019736842101,b2,88.81,27.0,[2521.43678113]
8.6,10.65,0.1433333333333333,22.851833333333342,91.59,4.148166666666658,1736.4418604651123,b2,88.81,27.0,[1760.47395942]
8.57,10.61,0.1428333333333333,22.99466666666667,90.9277,4.005333333333326,1682.5204200700084,b2,88.81,27.0,[1706.18243354]
10.07,10.42,0.1678333333333333,23.16250000000001,104.9294,3.837499999999991,1371.896722939421,b2,88.81,27.0,[1366.83384009]
9.96,10.22,0.166,23.32850000000001,101.79120000000002,3.671499999999991,1327.0481927710812,b2,88.81,27.0,[1310.37004994]
9.68,9.75,0.1613333333333333,23.489833333333344,94.38,3.510166666666656,1305.433884297517,b2,88.81,27.0,[1307.11228817]
7.48,9.73,0.1246666666666666,23.61450000000001,72.78040000000001,3.3854999999999897,1629.3850267379628,b2,88.81,27.0,[1627.23019837]
7.45,9.67,0.1241666666666666,23.73866666666668,72.0415,3.2613333333333223,1575.9463087248268,b2,88.81,27.0,[1573.21112802]
7.42,9.59,0.1236666666666666,23.862333333333343,71.1578,3.1376666666666573,1522.3180592991869,b2,88.81,27.0,[1524.11165311]
5.32,9.86,0.0886666666666666,23.951000000000008,52.4552,3.0489999999999924,2063.2330827067617,b2,88.81,27.0,[2135.52584697]
5.32,9.85,0.0886666666666666,24.039666666666676,52.402,2.960333333333324,2003.2330827067603,b2,88.81,27.0,[2032.369703]
5.88,9.74,0.098,24.137666666666675,57.2712,2.862333333333325,1752.448979591832,b2,88.81,27.0,[1748.32848283]
5.87,9.7,0.0978333333333333,24.23550000000001,56.939,2.764499999999991,1695.4344122657526,b2,88.81,27.0,[1703.48792729]
5.85,9.66,0.0974999999999999,24.33300000000001,56.511,2.666999999999991,1641.2307692307638,b2,88.81,27.0,[1650.86660246]
7.32,9.45,0.122,24.45500000000001,69.17399999999999,2.544999999999991,1251.6393442622905,b2,88.81,27.0,[1287.80973659]
7.27,9.33,0.1211666666666666,24.576166666666676,67.8291,2.4238333333333237,1200.247592847313,b2,88.81,27.0,[1221.8449546]
5.83,9.43,0.0971666666666666,24.673333333333343,54.9769,2.3266666666666573,1436.7066895368723,b2,88.81,27.0,[1389.14042801]
5.82,9.4,0.097,24.770333333333344,54.708000000000006,2.229666666666656,1379.175257731952,b2,88.81,27.0,[1374.53782454]
2.19,9.84,0.0365,24.806833333333344,21.5496,2.193166666666656,3605.2054794520377,b2,88.81,27.0,[4197.44808114]
5.53,9.4,0.0921666666666666,24.89900000000001,51.982000000000006,2.1009999999999884,1367.7396021699744,b2,88.81,27.0,[1364.99074928]
5.52,9.37,0.092,24.99100000000001,51.72239999999999,2.0089999999999897,1310.2173913043412,b2,88.81,27.0,[1316.76828191]
5.5,9.33,0.0916666666666666,25.082666666666675,51.315,1.917333333333325,1254.9818181818123,b2,88.81,27.0,[1308.44995093]
9.01,12.42,0.1501666666666666,0.1501666666666666,111.9042,69.84983333333334,27908.923418423976,b3,88.35,70.0,[28166.86138784]
9.18,12.24,0.153,0.3031666666666667,112.3632,69.69683333333333,27332.091503267973,b3,88.35,70.0,[27440.30569997]
